season,season_type,week,team_abb,qbr_total,pts_added,qb_plays,epa_total,pass,run,exp_sack,penalty,qbr_raw,name_display,opp_abb
2023,POST,19,KC,88.8,7.1,45,10.6,6.1,4.5,0,0,90.4,Patrick Mahomes,MIA
2023,POST,19,MIA,15.7,-6.9,47,-1.6,-1.9,0.5,-0.6,-0.2,11.2,Tua Tagovailoa,KC
2023,POST,20,TB,55.4,1.4,50,5.4,5.6,-0.3,-2,0.2,59.6,Baker Mayfield,DET
2023,POST,20,SF,62.9,2.5,45,6.6,6.9,-0.2,-0.6,-0.1,68.8,Brock Purdy,GB
2023,POST,20,DET,66.2,3.1,48,7.3,6.8,0.4,-0.9,0.1,71.5,Jared Goff,TB
2023,POST,20,GB,43.7,-1.6,43,2.3,2.8,-2.7,0,2.2,36.8,Jordan Love,SF
2023,POST,20,BUF,66,2,52,6.7,4.8,2.1,0,-0.2,63.3,Josh Allen,KC
2023,POST,20,BAL,94.2,8.5,39,11.5,4.8,6.5,-0.6,0.2,95.7,Lamar Jackson,HOU
2023,POST,20,KC,91.5,4.3,28,6.8,5.5,0.9,0,0.4,89.6,Patrick Mahomes,BUF
2023,POST,21,SF,88.5,6.3,36,9.3,4.9,4.3,-0.8,0,92.4,Brock Purdy,DET
2023,POST,21,DET,58.7,0.2,44,3.6,3.5,0,-0.8,0.1,51.6,Jared Goff,SF
2023,POST,21,BAL,42.4,-1.5,49,2.9,0.6,2.3,-1.8,-0.1,39.6,Lamar Jackson,KC
2023,POST,21,KC,91.3,5.4,48,9.5,7.9,1.7,-0.7,-0.1,83.3,Patrick Mahomes,BAL
2023,POST,22,SF,70.5,2,47,6.3,6,0.1,-0.4,0.1,64.9,Brock Purdy,KC
2023,POST,22,KC,76.4,4.3,59,9.6,8.8,0.8,-1,0,73.5,Patrick Mahomes,SF
2024,REG,1,NYG,24.2,-6.1,58,-0.7,-0.7,0.4,-1.2,-0.4,18.4,Daniel Jones,MIN
2024,REG,2,NYG,69.9,2.4,39,5.9,5.2,0.3,-0.3,0.4,70.5,Daniel Jones,WAS
2024,REG,3,NYG,69,2.6,45,6.3,7.7,-1.2,-0.9,-0.2,69.2,Daniel Jones,CLE
2024,REG,4,NYG,63.1,2.4,46,6.4,6.4,-0.3,-0.3,0.2,67.8,Daniel Jones,DAL
2024,REG,5,NYG,70.7,1.9,46,5.9,5.2,0,-1.1,0.6,64.4,Daniel Jones,SEA
2024,REG,6,NYG,16.6,-3.9,54,0.8,-1.8,1.8,-0.6,0.8,26.5,Daniel Jones,CIN
2024,REG,7,NYG,19.1,-4.1,34,-1,-1.6,0.3,-3.3,0.3,15.3,Daniel Jones,PHI
2024,REG,8,NYG,38.5,-3.7,51,0.8,1.8,-0.4,-1.9,-0.7,26.3,Daniel Jones,PIT
2024,REG,9,NYG,75.5,4,40,6.9,3.2,2.8,-0.9,0.9,80.7,Daniel Jones,WAS
2024,REG,10,NYG,37.7,-0.7,46,3.4,1.1,1.7,-1.5,0.7,44.9,Daniel Jones,CAR
2024,REG,10,LA,35.1,-2.4,49,1.7,1.7,0,-2.1,0,33.2,Matthew Stafford,MIA
2024,REG,10,MIA,26.7,-2.3,31,0.4,0.4,0,-1.7,0,25.6,Tua Tagovailoa,LA
2024,REG,11,NYJ,36.8,-0.6,34,2.3,2.5,-0.1,-0.8,-0.1,43.4,Aaron Rodgers,IND
2024,REG,11,IND,75.2,3.2,43,6.9,4.9,2,-1.5,-0.1,74,Anthony Richardson,NYJ
2024,REG,11,DEN,76.4,4.5,37,6.4,6.7,-0.2,-0.2,-0.1,85.1,Bo Nix,ATL
2024,REG,11,SF,80.4,3.8,38,7.1,3.9,3.2,-0.8,0,80.2,Brock Purdy,SEA
2024,REG,11,CHI,84.4,4.7,45,8.6,4.5,4,-1.1,0.1,81.3,Caleb Williams,GB
2024,REG,11,DAL,30.7,-4.8,63,0.6,0.8,-0.1,-1.6,-0.1,25.2,Cooper Rush,HOU
2024,REG,11,NO,65.8,2.1,31,4.7,4.4,0.3,-0.4,0,72.6,Derek Carr,CLE
2024,REG,11,NE,72.7,3.8,48,7.9,7.1,0.9,-1.4,0,75.5,Drake Maye,LA
2024,REG,11,LV,51,-1.2,50,2.7,2.2,0.6,-1.2,0,41.8,Gardner Minshew,MIA
2024,REG,11,SEA,81.9,4.3,42,8,3.5,4.4,-1.9,0.1,80.8,Geno Smith,SF
2024,REG,11,PHI,45.8,0.5,40,4.1,2.8,1.4,-1,-0.1,54.7,Jalen Hurts,WAS
2024,REG,11,CLE,67.6,1.5,53,5.7,5.9,0,-1.5,-0.2,59.9,Jameis Winston,NO
2024,REG,11,DET,93.8,7.9,34,7.3,6,1.1,0,0.2,96.3,Jared Goff,JAX
2024,REG,11,WAS,22.2,-5.5,44,-1.2,0.2,-2,-1.4,0.5,14.8,Jayden Daniels,PHI
2024,REG,11,CIN,83.5,4.7,57,9,6.7,2,-1.4,0.2,76.4,Joe Burrow,LAC
2024,REG,11,GB,79.3,1.7,23,3.7,3,-0.2,-0.5,0.9,73.6,Jordan Love,CHI
2024,REG,11,BUF,82.8,6.3,52,10.8,5.2,4.6,0,1,84.8,Josh Allen,KC
